instruction,text,name,definition
3.6.1,Key constant,,An unchanging value representing a key on the keyboard
3.6.1,State,,Information that is remembered by the program
3.6.2,Collision,,When sprites touch or overlap
3.6.2,Multiple assignment,,Assigning more than one variable with the same operator
3.7.1,for loop,,A loop that runs a specific number of times
3.7.1,Loop variable,,A variable whose value changes based on the iteration of a loop
3.7.1,range,,A sequence of integers with a start and an end
3.7.2,Start,,The first value in a range
3.7.2,Step,,The amount that a range counts by
4.1.1,Collection,,A grouping of information
4.1.1,Element,,A value in a collection at a position
4.1.1,For-each loop,,A loop that iterates over each element in a collection
4.1.1,Iterate,,"Operate on the elements of a collection, one at a time in sequential order"
4.1.1,List,,A changeable collection of ordered elements
4.1.2,Index,,The zero-based position of an element in a collection
4.1.2,Length,,The number of elements in a collection
4.2.1,Element query,,A question about an element in a collection
4.2.2,List append,,Add an element to the end of a list
4.2.2,List delete,,Take an element out of a list by its index
4.2.2,List extend,,Copy all elements of one list to the end of another list
4.2.2,List insert,,Add an element to a list at a position
4.2.2,List remove,,Take an element out of a list by its value
4.3.1,Maximum,,The largest value in a collection
4.3.1,Minimum,,The smallest value in a collection
4.3.1,Sort,,Arrange the elements in a collection in ascending order
4.3.2,Identity comparison,,Check whether two different variables refer to the same data
4.3.2,List concatenation,,Create a new list by joining two lists together
4.3.2,List equality comparison,,Check whether two lists contain all of the same elements in the same order
4.3.2,List repetition,,Create a new list from multiple copies of an existing list
4.3.2,Reference,,A name that points to data
4.4.1,Character,,"A single letter, number, punctuation mark, or symbol represented as a string"
4.4.1,Immutable,,Unable to be changed after it is created
4.4.1,Substring,,Zero or more sequential characters in a string
4.4.2,Slice,,Create a new collection by copying a sequence of elements from an existing collection
4.5.1,Escape sequence,,Two or more sequential characters that have special meaning when combined
4.5.1,List join,,Join the elements of a list into a string
4.5.1,String separator,,A substring that is used to mark a division between other strings
4.5.1,String split,,Split a string into a list of substrings
4.5.1,Whitespace,,"A character used for spacing, such as a space, tab, or newline"
4.5.2,Case sensitive,,Treating uppercase and lowercase letters as distinct
4.5.2,String replace,,Create a new string by replacing all occurrences of a substring with a new substring
5.1.1,Tuple,,An unchangeable collection of ordered elements
5.1.2,Collection unpacking,,Assigning the elements of a collection to individual variables in a single statement
5.2.1,Dictionary,,A collection that pairs two corresponding sets of data
5.2.1,Key-value pair,,A unique piece of data (the key) used to look up another piece of data (the value)
5.2.2,Dictionary item,,A key-value pair represented as a tuple
5.3.1,Nested collection,,A collection that contains other collections
5.3.1,Data model,,The way data is organized to represent the relationships between information
5.3.1,Sequential bracket notation,,A series of keys or indexes each surrounded by square brackets
5.4.1,Server,,A program that provides access to information over a computer network
5.4.1,Client,,A program that gets information from a server and uses it to complete a task
5.4.1,URL,URL (Uniform Resource Location),The address of information on a computer network
5.4.1,HTTP,HTTP (HyperText Transfer Protocol),A set of rules for sending and receiving information over a computer network
5.4.1,Request,,"A message sent from a client to a server, asking for a information"
5.4.1,Response,,A reply message from a server back to a client containing information that was requested by the client
5.4.1,JSON,JSON (JavaScript Object Notation),A common data format used to exchange information over a computer network
5.4.2,Web API,Web API (Web Application Programming Interface),The set of rules for interacting with an HTTP server on the internet
5.4.2,Request parameter,,Additional information sent with a request as part of the URL
5.4.2,Response status code,,An integer value that indicates whether a request was successful and why
5.4.2,Rate limit,,The number of requests a server will accept from one client within a time period
5.4.2,API key,,A unique identifying value that proves a client is allowed to make a request to a server
